FIXME,Type,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:unit,aeroway,alt_name,amenity,capacity,contact:phone,cuisine,cuisine_1,delivery,description,diet:gluten_free,diet:vegetarian,disused,disused:amenity,drive_in,drive_thru,ele,email,emergency,gay,gnis:county_id,gnis:county_name,gnis:created,gnis:feature_id,gnis:feature_type,gnis:state_id,grades,internet_access,isced:level,lat,leisure,lon,microbrewery,name,name:en,note,old_name,opening_hours,operator,organic,outdoor_seating,payment:bitcoin,payment:cash,payment:litecoin,phone,religion,school,shop,smoking,sport,takeaway,type,website,wheelchair,wikipedia
,,,,,3908,78751,,Avenue B,,,,school,,,,,,,,,,,,,186,,,,453,,11/30/1979,1329956,,48,,,,30.3040961,,-97.7355612,,Baker School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,hospital,,,,,,,,,,,,,158,,,,453,,11/30/1979,1331174,,48,,,,30.2743149,,-97.7324471,,Brackenridge Hospital,,,,,,,,,,,,,,,,,,,,yes,
,,,,,,,,,,,,school,,,,,,,,,,,,,167,,,,453,,11/30/1979,1332902,,48,,,,30.2818744,,-97.7641726,,Clarksville School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,140,,,,453,,11/30/1979,1334063,,48,,,,30.2629869,,-97.7050041,,Daughters of Saint Joseph School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,175,,,,453,,11/30/1979,1334356,,48,,,,30.2927073,,-97.7636172,,Dill School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,236,,,,453,,11/30/1979,1334860,,48,,,,30.2829848,,-97.811118,,Eanes School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,162,,,,453,,11/30/1979,1338330,,48,,,,30.2632645,,-97.7222268,,Huston Tillotson College,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,163,,,,453,,11/30/1979,1340896,,48,,,,30.3440959,,-97.5727794,,Manor High School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,147,,,,453,,11/30/1979,1343644,,48,,,,30.266042,,-97.738894,,Pasteur Institute,,,,,,,,,,,,,,,,,,,,,
,,Austin,,,1500,78757,,West Anderson Lane,,,,school,,,,,,,,,,,,,234,,,,453,,11/30/1979,1344974,,48,,,,30.3526801,,-97.7209525,,Redeemer Lutheran School,,,,,Redeemer Lutheran Church,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,183,,,,453,,11/30/1979,1345825,,48,,,,30.3043744,,-97.6747261,,Sacred Heart School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,214,,,,453,,11/30/1979,1345841,,48,,,,30.3318731,,-97.7005607,,Sain Johns School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,hospital,,,,,,,,,,,,,183,,,,453,,11/30/1979,1345886,,48,,,,30.2896522,,-97.7261162,,Saint Davids Hospital,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,187,,,,453,,11/30/1979,1346092,,48,,,,30.2938188,,-97.7236162,,Saint Pauls School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,234,,,,453,,11/30/1979,1346119,,48,,,,30.3301109,,-97.8185931,,St. Stephen's Episcopal School,,,,,,,,,,,,,,,,,,,,,"en:St. Stephen's Episcopal School (Austin, Texas)"
,,,,,,,,,,,,school,,,,,,,,,,,,,140,,,,453,,11/30/1979,1346405,,48,,,,30.254376,,-97.712782,,San Juan School,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,138,,,,453,,11/30/1979,1348401,,48,,,,30.2515985,,-97.6897257,,Texas Blind- Deaf and Orphan School,,,,,,,,,,,,,,,,,,,,,
